semel_machlaka,noshmim,otzma
1010000,True,True
1030000,False,False
1030040,True,True
1030042,True,True
1030044,True,True
1030046,True,True
1030047,True,True
1030049,True,True
1030050,True,True
1030051,True,True
1030052,True,True
1030053,True,True
1030054,True,True
1030055,True,True
1030056,True,True
1030060,True,True
1030061,True,True
1030062,True,True
1030064,True,True
1030065,True,True
1030066,True,True
1030068,True,True
1030070,True,True
1030071,True,True
1030072,True,True
1030073,True,True
1030075,True,True
1030073,True,True
1030075,False,False
1040010,True,True
1040020,True,True
1040030,True,True
1040031,True,True
1040040,True,True
1210000,True,True
1220000,False,False
1240000,False,False
1260000,False,False
1290000,True,True
1310000,False,False
1320000,False,False
1340000,False,False
1390000,False,False
1400000,True,True
1410000,False,False
1420000,False,False
1460000,True,True
1470000,True,True
1620000,False,False
1640000,False,False
1670000,False,False
1680000,False,False
1730000,False,False
1740000,False,False
1780000,True,True
1840000,False,False
1860000,False,False
1870000,False,False
2230000,False,False
3000000,True,True
3000100,True,True
3000200,True,True
3000300,True,True
3010000,True,True
3020000,False,False
3030000,False,False
3040000,True,True
3050000,True,True
3050020,True,True
3050030,False,False
3060000,True,True
3070000,True,True
3080000,False,False
3080010,True,True
3080030,False,False
3080080,True,True
3090000,False,False
3090010,True,True
3090020,True,True
3090030,False,False
3090040,True,True
3090050,True,True
3100000,False,False
3100010,True,True
3100030,False,False
3110000,True,True
3120000,False,False
3130000,False,False
3130100,True,True
3130110,False,False
3130120,False,False
3130130,False,False
3130200,False,False
3130210,False,False
3130220,True,True
3130230,False,False
3130300,False,False
3130310,False,False
3130320,False,False
3130330,False,False
3200000,False,False
3210000,False,False
3220000,False,False
3230000,False,False
3240000,False,False
3250000,False,False
3260000,False,False
3270000,False,False
3280000,False,False
3290000,True,True
3300000,False,False
3310000,False,False
3320000,False,False
3330000,False,False
3340000,False,False
3370000,False,False
3380000,False,False
3390000,False,False
3400000,False,False
3410000,False,False
3420000,False,False
3430000,False,False
3440000,False,False
3450000,False,False
3460000,False,False
3470000,True,True
3480000,False,False
3500000,False,False
3520000,False,False
3530000,False,False
3540000,False,False
3550000,False,False
3560000,False,False
3570000,False,False
3580000,False,False
3590000,False,False
3610000,False,False
3620000,False,False
3630000,False,False
3640000,False,False
3650000,False,False
3660000,True,True
3680000,True,True
3690000,False,False
3700000,False,False
3710000,False,False
3730000,False,False
3740000,False,False
3750000,False,False
3770000,True,True
3780000,False,False
3790000,False,False
4200000,True,True
4210000,True,True
4220000,True,True
4230000,False,False
4240000,True,True
4250000,True,True
4260000,True,False
5000000,True,True
5000010,True,True
5010000,False,False
5010010,True,True
5010020,True,True
5010030,True,True
5010040,True,True
5010060,False,False
5020000,True,True
5030000,True,True
5040000,True,True
5050020,True,True
5060000,True,True
5070000,True,True
5200000,True,True
5210000,True,True
5220000,False,False
5240000,False,False
5250000,True,True
5260000,True,True
5270000,False,False
5280000,False,False
5290000,False,False
5320000,False,False
5330000,False,False
5350000,True,True
5360000,False,False
5390000,False,False
5400000,False,False
5420000,False,False
5430000,False,False
5440000,False,False
5450000,True,True
5460000,False,False
5470000,False,False
5480000,False,False
5490000,False,False
5500000,True,True
5510000,False,False
5520000,True,True
5530000,False,False
5550000,True,True
5560000,False,False
5570000,False,False
5600000,False,False
5610000,False,False
5620000,False,False
5630000,True,True
5640000,False,False
5650000,False,False
5660000,False,False
5670000,False,False
5680000,False,False
5690000,False,False
5700000,False,False
5710000,False,False
5720000,False,False
5750000,False,False
5770000,False,False
5780000,False,False
5790000,False,False
6000000,True,True
6010000,True,True
6200000,True,True
6210000,True,True
6220000,True,True
6230000,True,True
6240000,True,False
6250000,True,True
6260000,False,False
6270000,True,True
6280000,True,True
6290000,True,True
6300000,False,False
6310000,True,True
6320000,True,True
6330000,True,True
6340000,True,True
6350000,True,True
6360000,True,True
6370000,True,True
6380000,True,True
6390000,True,True
6400000,True,True
6410000,True,True
6420000,True,True
6430000,True,True
6440000,True,True
6450000,True,False
6460000,True,True
6470000,True,True
6480000,True,True
6490000,True,True
6500000,True,True
6510000,True,True
6520000,True,True
6530000,False,False
6540000,True,True
6550000,True,True
6560000,True,False
6570000,True,True
6580000,False,False
6590000,True,False
6600000,True,True
6620000,True,True
6630000,True,True
6640000,True,True
6650000,True,True
6660000,True,True
6670000,True,True
6680000,True,True
6690000,True,True
6700000,False,False
6710000,False,False
6720000,True,True
6730000,True,True
6740000,True,True
6750000,True,True
6760000,False,False
6770000,True,True
6780000,True,False
6790000,True,False
6880000,False,False
6890000,False,False
6900000,True,True
6910000,True,True
6920000,True,True
6930000,True,True
6940000,False,False
1000000,True,True
1020000,False,True
1020010,True,True
1020020,True,True
1050000,True,True
1060000,True,True
1200000,True,True
1230000,True,True
1250000,True,True
1270000,True,True
1280000,False,True
1300000,True,True
1330000,False,False
1430000,False,False
1450000,False,False
1610000,False,False
1650000,False,False
1660000,False,False
1690000,False,False
1700000,False,False
1710000,False,False
1720000,False,False
1750000,False,False
1760000,False,False
1790000,False,False
2210000,True,True
2220000,True,True
2400000,True,True
2410000,True,True
2420000,True,True
2430000,True,True
2440000,True,True
2450000,True,True
2460000,True,True
